รหัสจังหวัด,จังหวัด,เขต,ผู้ชนะ,พรรค,คะแนน,คะแนนดี,ผู้มีสิทธิ,มาใช้สิทธิ
10,กรุงเทพมหานคร,1,นายปารเมศ วิทยารักษ์สรรค์,ประชาชน,34167,77075,130445,82421
10,กรุงเทพมหานคร,2,นายเสกสิทธิ์ แย้มสงวนศักดิ์,ประชาชน,39499,83874,136434,90181
10,กรุงเทพมหานคร,3,นายจรยุทธ จตุรพรประสิทธิ์,ประชาชน,34653,76775,122576,82361
10,กรุงเทพมหานคร,4,นายภัณฑิล น่วมเจิม,ประชาชน,34405,77982,129503,82948
10,กรุงเทพมหานคร,5,นายปิติกรณ์ บรรณเภสัช,ประชาชน,45269,90792,133983,96561
10,กรุงเทพมหานคร,6,นายกัณตภณ ดวงอัมพร,ประชาชน,43239,94391,143091,100871
10,กรุงเทพมหานคร,7,นางสาวภัสริน รามวงศ์,ประชาชน,40962,85181,142711,92497
10,กรุงเทพมหานคร,8,นายชยพล สท้อนดี,ประชาชน,45092,96755,144013,104633
10,กรุงเทพมหานคร,9,นายศุภณัฐ มีนชัยนันท์,ประชาชน,49366,95111,144197,102720
10,กรุงเทพมหานคร,10,นายเอกราช อุดมอำนวย,ประชาชน,41804,91913,137980,99657
10,กรุงเทพมหานคร,11,นางสาวศศินันท์ ธรรมนิฐินันท์,ประชาชน,38779,94993,137319,100367
10,กรุงเทพมหานคร,12,นายภูริวรรธก์ ใจสำราญ,ประชาชน,49925,103439,143108,111029
10,กรุงเทพมหานคร,13,เรืออากาศโท ธนเดช เพ็งสุข,ประชาชน,44511,90508,131666,97065
10,กรุงเทพมหานคร,14,นายก่อเกียรติ ก่อสูงศักดิ์,ประชาชน,41528,93467,140238,99223
10,กรุงเทพมหานคร,16,นางสาวพิมพ์กาญจน์ กีรติวิราปกรณ์,ประชาชน,46021,94218,137721,100557
10,กรุงเทพมหานคร,17,นายวีรวุธ รักเที่ยง,ประชาชน,28587,71720,120676,79075
10,กรุงเทพมหานคร,18,นายธีรัจชัย พันธุมาศ,ประชาชน,34738,80204,122821,87055
10,กรุงเทพมหานคร,19,นายกันต์พงษ์ ประยูรศักดิ์,ประชาชน,42820,92191,135568,98920
10,กรุงเทพมหานคร,20,นายชุมพล หลักคำ,ประชาชน,34941,81935,126470,87486
10,กรุงเทพมหานคร,21,นายณัฐพงศ์ เปรมพูลสวัสดิ์,ประชาชน,45951,91346,136579,96860
10,กรุงเทพมหานคร,22,นายสุภกร ตันติไพบูลย์ธนะ,ประชาชน,42264,85558,133612,92301
10,กรุงเทพมหานคร,23,นายชลธาร ทรัพย์ไพบูลย์เลิศ,ประชาชน,46782,94233,144083,100477
10,กรุงเทพมหานคร,24,นายณพัฏน์ จิตตภินันท์กัณตา,ประชาชน,46415,89356,142148,96919
10,กรุงเทพมหานคร,25,นางสาวแอนศิริ วลัยกนก,ประชาชน,37035,84112,126830,89687
10,กรุงเทพมหานคร,26,นาย พงษ์สรณัฐ ทองลี,ประชาชน,44271,90037,139434,97121
10,กรุงเทพมหานคร,27,นายนฤพล เลิศปัญญาโรจน์,ประชาชน,43046,90381,134453,96276
10,กรุงเทพมหานคร,28,นางสาวชลณัฏฐ์ โกยกุล,ประชาชน,47692,91560,139454,99509
10,กรุงเทพมหานคร,29,นางสาวทิสรัตน์ เลาหพล,ประชาชน,46402,96248,144424,103966
10,กรุงเทพมหานคร,30,นายธัญธร ธนินวัฒนาธร,ประชาชน,45992,92533,143753,99352
10,กรุงเทพมหานคร,31,นายอนุสรณ์ ธรรมใจ,ประชาชน,44722,98491,143750,107447
10,กรุงเทพมหานคร,32,นางสาวปวิตรา จิตตกิจ,ประชาชน,39727,85631,139037,93917
10,กรุงเทพมหานคร,33,นายเท่าพิภพ ลิ้มจิตรกร,ประชาชน,44860,94416,148164,102628
11,สมุทรปราการ,1,นางสาวพนิดา มงคลสวัสดิ์,ประชาชน,43463,87879,130785,97099
11,สมุทรปราการ,2,นางสาวรัชนก สุขประเสริฐ,ประชาชน,40979,89135,129095,96319
11,สมุทรปราการ,3,นายพิชัย แจ้งจรรยาวงศ์,ประชาชน,45335,88488,141094,96436
11,สมุทรปราการ,4,นายชนสิษฎ์ ยอดฉิม,ประชาชน,48876,92620,135983,100463
11,สมุทรปราการ,5,นางสาวนิตยา มีศรี,ประชาชน,57198,100245,158312,111240
11,สมุทรปราการ,6,นายฐาปกรณ์ กุลเจริญ,ภูมิใจไทย,35571,84514,129990,91647
11,สมุทรปราการ,7,นายบุญเลิศ แสงพันธุ์,ประชาชน,46394,97691,149502,105577
11,สมุทรปราการ,8,นายเทพฤทธิ์ ภาษี,ประชาชน,40230,103041,150398,111859
12,นนทบุรี,1,นายวุฒากร นุตยกุล,ประชาชน,42123,93883,135257,101511
12,นนทบุรี,2,นางปัญญารัตน์ นันทภูษิตานนท์,ประชาชน,38013,81123,124496,88604
12,นนทบุรี,3,นายอนุสรณ์ แก้ววิเชียร,ประชาชน,47405,96521,140970,106780
12,นนทบุรี,4,นายกรณ์ มีดี,ประชาชน,33461,85203,127371,92680
12,นนทบุรี,5,นายปรีติ เจริญศิลป์,ประชาชน,41888,96107,137863,104631
12,นนทบุรี,6,นายสุทัศน์ มีศิริ,ประชาชน,44405,99026,144044,110023
12,นนทบุรี,7,นายเกียรติคุณ ต้นยาง,ประชาชน,41267,93993,142327,103313
12,นนทบุรี,8,นายนนท์ ไพศาลลิ้มเจริญกิจ,ประชาชน,36631,88860,121283,96509
13,ปทุมธานี,1,นายเจษฎา ดนตรีเสนาะ,ประชาชน,32835,95201,130705,102636
13,ปทุมธานี,2,นายศุภชัย นพขำ,เพื่อไทย,36340,97032,128907,102812
13,ปทุมธานี,3,นายเอกศักดิ์ หอมชื่น,ประชาชน,42004,84153,131718,93799
13,ปทุมธานี,4,นายสกล สุนทรวาณิชย์กิจ,ประชาชน,41039,90836,132041,98894
13,ปทุมธานี,5,นายเชตวัน เตือประโคน,ประชาชน,35383,82519,122733,89639
13,ปทุมธานี,6,นายธนภัทร ตระกูลภูชัย,ประชาชน,42684,84382,122395,91434
